target,split,source,layer,model,model_family,n_eval,r2,mae,rmse
D_exact,leave_secret_out,metadata,-1,dummy_mean,baseline,90,-0.0071798171005150735,0.785810436084872,1.184303935204936
D_exact,leave_secret_out,delta,0,hidden_linear_pca_ridge,linear,90,0.6266629427268497,0.3965781182988498,0.7210414229996048
D_exact,leave_secret_out,raw,20,hidden_linear_pca_ridge,linear,90,0.5964840619624953,0.41079703688508085,0.7496180092485978
D_exact,leave_secret_out,metadata,-1,metadata_main_ridge,main_effects,90,0.375265581534834,0.6038921413870774,0.932733084698219
D_exact,leave_secret_out,metadata,-1,metadata_pairwise_ridge,pairwise_interactions,90,0.41086856294925234,0.5749150456145139,0.9057654781550292
D_exact,leave_secret_out,delta,12,hidden_quadratic_pca_ridge,quadratic,90,-0.4755983459094142,1.0047682001795084,1.4334869546871107
D_exact,leave_secret_out,raw,20,hidden_quadratic_pca_ridge,quadratic,90,0.33746671964902286,0.623457093870185,0.9605357081306569
D_exact,random_kfold,metadata,-1,dummy_mean,baseline,90,-0.016677816879150598,0.7848358406659355,1.189874997804721
D_exact,random_kfold,delta,20,hidden_linear_pca_ridge,linear,90,0.5815222956917802,0.4417370691769352,0.7633888765020048
D_exact,random_kfold,raw,20,hidden_linear_pca_ridge,linear,90,0.6008482092448879,0.43939060406558006,0.7455533160598268
D_exact,random_kfold,metadata,-1,metadata_main_ridge,main_effects,90,0.3263612793135834,0.6324043031291777,0.9685525444601435
D_exact,random_kfold,metadata,-1,metadata_pairwise_ridge,pairwise_interactions,90,0.35133815825935755,0.5951996641999217,0.9504271646117566
D_exact,random_kfold,delta,0,hidden_quadratic_pca_ridge,quadratic,90,0.062107374403905125,0.7398013079121372,1.142842087386172
D_exact,random_kfold,raw,20,hidden_quadratic_pca_ridge,quadratic,90,0.3694354247887538,0.632082888838476,0.9370752112726322
D_partial,leave_secret_out,metadata,-1,dummy_mean,baseline,90,-0.005074238733030478,0.9103497123765324,1.2466327192094369
D_partial,leave_secret_out,delta,20,hidden_linear_pca_ridge,linear,90,0.654475033708165,0.39132500724680946,0.7309356883019238
D_partial,leave_secret_out,raw,20,hidden_linear_pca_ridge,linear,90,0.6097925120866411,0.4643712569697161,0.7767607098338739
D_partial,leave_secret_out,metadata,-1,metadata_main_ridge,main_effects,90,0.3687555295135406,0.704439537133471,0.9879574575653425
D_partial,leave_secret_out,metadata,-1,metadata_pairwise_ridge,pairwise_interactions,90,0.4297400765672389,0.6502317577140759,0.9390222352772915
D_partial,leave_secret_out,delta,20,hidden_quadratic_pca_ridge,quadratic,90,-0.7279974116304662,1.0036562661754576,1.6345981167186017
D_partial,leave_secret_out,raw,20,hidden_quadratic_pca_ridge,quadratic,90,0.5164907955089154,0.5959802419559928,0.8646529418925005
D_partial,random_kfold,metadata,-1,dummy_mean,baseline,90,-0.012047202287573278,0.9122072423807109,1.2509496637935815
D_partial,random_kfold,delta,12,hidden_linear_pca_ridge,linear,90,0.6281163370547024,0.482115016786622,0.7583033950520143
D_partial,random_kfold,raw,20,hidden_linear_pca_ridge,linear,90,0.6211247651110865,0.4939092574169291,0.7653984170724358
D_partial,random_kfold,metadata,-1,metadata_main_ridge,main_effects,90,0.31564361029148724,0.7449178028474542,1.028680752003713
D_partial,random_kfold,metadata,-1,metadata_pairwise_ridge,pairwise_interactions,90,0.36600970152916223,0.6897779290114593,0.99010386654298
D_partial,random_kfold,delta,4,hidden_quadratic_pca_ridge,quadratic,90,0.24916162421068888,0.7343586825365975,1.0774885931473956
D_partial,random_kfold,raw,20,hidden_quadratic_pca_ridge,quadratic,90,-0.0034834189904282553,0.7110483293064154,1.245645750674956
D_stat_max,leave_secret_out,metadata,-1,dummy_mean,baseline,90,-0.003114824105327818,1.1082584868872702,1.4281320786617442
D_stat_max,leave_secret_out,delta,20,hidden_linear_pca_ridge,linear,90,0.7125517666257396,0.41663470496384825,0.7644918714014736
D_stat_max,leave_secret_out,raw,20,hidden_linear_pca_ridge,linear,90,0.6795570698928208,0.49193666670649094,0.807176291483796
D_stat_max,leave_secret_out,metadata,-1,metadata_main_ridge,main_effects,90,0.3573423359583753,0.8583046590530052,1.1430965017757633
D_stat_max,leave_secret_out,metadata,-1,metadata_pairwise_ridge,pairwise_interactions,90,0.4504996124416455,0.7839853081943463,1.057005024296398
D_stat_max,leave_secret_out,delta,16,hidden_quadratic_pca_ridge,quadratic,90,-0.3265833271849843,1.0011227285076625,1.642329589205797
D_stat_max,leave_secret_out,raw,20,hidden_quadratic_pca_ridge,quadratic,90,0.6015767566363277,0.6157868476281645,0.900047403541089
D_stat_max,random_kfold,metadata,-1,dummy_mean,baseline,90,-0.015295697675333342,1.1137141889259987,1.4367768540592118
D_stat_max,random_kfold,delta,20,hidden_linear_pca_ridge,linear,90,0.6642444486894175,0.5410579506209783,0.826237022311619
D_stat_max,random_kfold,raw,20,hidden_linear_pca_ridge,linear,90,0.6804603557877148,0.5262364228981907,0.8060378274511214
D_stat_max,random_kfold,metadata,-1,metadata_main_ridge,main_effects,90,0.2921680961817431,0.9087842355968092,1.1996598297791339
D_stat_max,random_kfold,metadata,-1,metadata_pairwise_ridge,pairwise_interactions,90,0.3749347688811987,0.8271738700948684,1.127342088120491
D_stat_max,random_kfold,delta,20,hidden_quadratic_pca_ridge,quadratic,90,0.385959392054243,0.7681336303217345,1.1173560802949676
D_stat_max,random_kfold,raw,24,hidden_quadratic_pca_ridge,quadratic,90,0.23455735615323914,0.870277401399268,1.2475253431819286
